Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
1 	 0.190595 	 0.231905 	 114.816341 	 139.701878
2 	 0.126115 	 0.178226 	 75.972834 	 107.365201
3 	 0.116332 	 0.167092 	 70.079545 	 100.658102
4 	 0.004236 	 0.013394 	 2.552038 	 8.068493
5 	 0.001797 	 0.006304 	 1.082301 	 3.797407
6 	 0.001067 	 0.002244 	 0.642596 	 1.352033
7 	 0.000825 	 0.001690 	 0.496758 	 1.018258
8 	 0.001205 	 0.003809 	 0.725943 	 2.294865
9 	 0.000718 	 0.002089 	 0.432762 	 1.258315
10 	 0.000514 	 0.001970 	 0.309552 	 1.187011
11 	 0.000745 	 0.001922 	 0.449063 	 1.157536
12 	 0.000491 	 0.001370 	 0.295765 	 0.825111
13 	 0.000402 	 0.001182 	 0.242146 	 0.712044
14 	 0.000461 	 0.001137 	 0.277640 	 0.685168
15 	 0.000898 	 0.001994 	 0.540715 	 1.201114
16 	 0.000494 	 0.001385 	 0.297633 	 0.834244
17 	 0.000416 	 0.001139 	 0.250408 	 0.686286
18 	 0.000498 	 0.001144 	 0.300148 	 0.688949
19 	 0.000402 	 0.001068 	 0.242259 	 0.643508
20 	 0.000392 	 0.001001 	 0.236254 	 0.603272
21 	 0.516020 	 0.985424 	 310.855744 	 593.629994
22 	 0.000414 	 0.001157 	 0.249617 	 0.697076
23 	 0.000393 	 0.001252 	 0.236560 	 0.754499
24 	 0.000476 	 0.001182 	 0.286845 	 0.712179
25 	 0.000377 	 0.001190 	 0.226826 	 0.717054
26 	 0.000381 	 0.001118 	 0.229615 	 0.673272
27 	 0.000384 	 0.001125 	 0.231597 	 0.677789
28 	 0.000374 	 0.001164 	 0.225459 	 0.701430
29 	 0.000373 	 0.001175 	 0.224861 	 0.707731
30 	 0.000370 	 0.001216 	 0.223061 	 0.732360
31 	 0.000833 	 0.004106 	 0.501870 	 2.473415
32 	 0.000626 	 0.001337 	 0.377352 	 0.805680
33 	 0.000373 	 0.001293 	 0.224442 	 0.779108
34 	 0.000363 	 0.001201 	 0.218378 	 0.723469
35 	 0.000362 	 0.001214 	 0.218068 	 0.731419
36 	 0.000359 	 0.001260 	 0.216447 	 0.758890
37 	 0.000353 	 0.001345 	 0.212571 	 0.810003
38 	 0.000350 	 0.001374 	 0.210979 	 0.827469
39 	 0.000349 	 0.001381 	 0.210491 	 0.832094
40 	 0.000349 	 0.001382 	 0.210072 	 0.832786
41 	 0.000462 	 0.001642 	 0.278543 	 0.989220
42 	 0.000351 	 0.001567 	 0.211674 	 0.943927
43 	 0.000335 	 0.001349 	 0.202033 	 0.812936
44 	 0.000336 	 0.001357 	 0.202175 	 0.817180
